pgc,al2000,de2000,ring
2308766,9.442618,48.0115764,R
2308853,10.3609254,48.0160266,R
2310166,7.6582809,48.0836187,R
2313180,9.2586248,48.2354418,R
2314570,8.775275,48.3025352,R
2324047,9.2069454,48.7203217,R
2326769,9.8754511,48.8343791,R
2328548,8.0198221,48.908526,R
2330596,7.7046007,48.9899547,R
2332230,8.6308595,49.0526598,R
2337730,9.1792449,49.2544181,R
2355120,10.3288346,49.8424078,R
2357577,9.7918582,49.9244054,R
2364049,10.0689374,50.1418783,R
2364893,8.5521805,50.1667514,R
2372076,9.9321317,50.4046841,R
2374272,7.7245987,50.4806853,R
2377564,10.2466028,50.6036885,R
2379736,8.4339456,50.6861494,R
2380387,8.7628024,50.7143586,R
2380785,8.2253297,50.7315497,R
2387217,10.1140734,51.0357995,R
2388533,9.8391095,51.110061,R
2388673,8.7657485,51.1183199,R
2393512,7.8316572,51.4032599,R
2400298,10.3283976,51.7978559,R
2404163,9.1103289,51.9856731,R
2408438,10.3694647,52.1706096,R
2409366,9.0309643,52.2114525,R
2409705,7.8122829,52.2249357,R
2414133,7.8769094,52.4060997,R
2418109,7.8781295,52.5634111,R
2419611,9.2842725,52.6260952,R
2420638,8.7021434,52.6678012,R
2421941,8.6018166,52.7190075,R
2422816,8.4508747,52.7531345,R
2423798,8.1020589,52.7911652,R
2429575,8.6621433,53.0138294,R
2433795,10.1706416,53.1769427,R
2441916,9.866121,53.468007,R
2442191,8.8775118,53.4781098,R
2445881,10.1091691,53.6099926,R
2451736,9.1933946,53.8203651,R
2455701,9.5924579,53.9581289,R
2455988,9.1110862,53.9675278,R
2457632,8.7282481,54.0262709,R
2460222,9.7150362,54.1159824,R
2462503,9.3052347,54.1954042,R
2468913,9.4046333,54.4138038,R
2473215,10.1715227,54.5584301,R
2478009,10.0210853,54.7151843,R
2481709,9.3810543,54.8306789,R
2487717,8.269381,55.0147285,R
2489193,9.2572102,55.0596719,R
2489296,10.1614831,55.0625716,R
2489850,9.4529822,55.0798166,R
2499411,8.3969649,55.3635898,R
2500623,10.1959985,55.399172,R
2508170,9.0403832,55.6092455,R
2512044,9.3608432,55.7199463,R
2514854,9.1948118,55.8026896,R
2515011,9.9139129,55.8073432,R
2529726,9.5473399,56.2223288,R
2544297,10.3076785,56.6785817,R
2571436,9.5518846,57.8213558,R
2572243,10.0289642,57.8971391,R
2575063,9.9330059,58.1436431,R
2584088,9.8493093,58.9035355,R
2590197,8.3609596,59.4149737,R
2598659,10.0594281,60.1546788,R
2599504,10.3261915,60.226318,R
2606789,9.5436571,60.7814998,R
2621183,8.8074704,61.6080679,R
2626392,9.9678112,61.8806027,R
2636018,10.148331,62.402235,R
2651768,10.2881266,63.2165277,R
2673306,9.0501229,64.9677015,R
2688803,9.216112,66.588914,R
2707508,9.5496912,67.8694247,R
2816654,9.2632891,9.9936866,R
3086791,10.3039258,58.9977129,R
3087375,7.9383722,49.725947,R
3087387,10.3191977,48.7502164,R
3087567,8.1424128,46.597969,R
3087899,7.6860156,40.9989682,R
3088625,8.7266923,34.5202998,R
3088733,8.3304739,33.0935538,R
3090972,9.9271523,12.3122823,R
3092140,8.5319402,4.2338014,R
3092142,8.5941046,4.7570398,R
3097903,9.3938188,40.074969,R
3131441,8.012912,47.1767077,R
3131534,8.5039338,47.5817032,R
