iauname,not_ring_pred,ring_pred,link,ra,dec,redshift,elpetro_absmag_r,sersic_nmgy_r,petro_th50,petro_th90,petro_theta
J170401.88+245635.3,0.0252359267324209,0.974764049053192,https://storage.yandexcloud.net/ring-galaxies/J170401.88%2B245635.3.jpg,256.00786505052207,24.943143903774182,0.037635986,-19.616243,660.1275,2.9852653,10.275855,7.0032516
J114304.26+061421.5,0.0252779517322778,0.9747220277786256,https://storage.yandexcloud.net/ring-galaxies/J114304.26%2B061421.5.jpg,175.76777891877282,6.239293017867876,0.1319439,-20.759956,92.983406,1.8447763,5.442715,3.7025027
J093511.17+182715.4,0.0253125876188278,0.974687397480011,https://storage.yandexcloud.net/ring-galaxies/J093511.17%2B182715.4.jpg,143.79659678593188,18.45429397665585,0.07068533,-21.60172,1118.3604,6.1395526,16.906092,15.164274
J023247.91-075449.8,0.0253193508833646,0.9746806025505066,https://storage.yandexcloud.net/ring-galaxies/J023247.91-075449.8.jpg,38.19961990618812,-7.913824770813161,0.030971529,-19.837881,1037.7389,4.9396195,12.993234,11.19691
J002951.59-021659.9,0.0253555625677108,0.9746444821357728,https://storage.yandexcloud.net/ring-galaxies/J002951.59-021659.9.jpg,7.465297084485543,-2.2833628592087623,0.017789,-18.799856,1232.9946,3.2620153,8.569049,6.6866083
J020256.28+151056.4,0.0253795683383941,0.9746204614639282,https://storage.yandexcloud.net/ring-galaxies/J020256.28%2B151056.4.jpg,30.73454371511196,15.182345064960161,0.07708775,-20.869102,439.80087,3.000635,7.8809476,7.692974
J020907.69-072034.9,0.0254234094172716,0.9745766520500184,https://storage.yandexcloud.net/ring-galaxies/J020907.69-072034.9.jpg,32.28226331097203,-7.343131182202629,0.053196885,-21.713661,2155.4043,6.6516833,16.713696,14.485678
J133221.71+072721.0,0.0254244673997163,0.9745755195617676,https://storage.yandexcloud.net/ring-galaxies/J133221.71%2B072721.0.jpg,203.0905242083144,7.455852006404839,0.024337843,-19.357271,1030.1035,5.831343,13.679976,11.992848
J110345.92+184516.1,0.0254432633519172,0.9745566844940186,https://storage.yandexcloud.net/ring-galaxies/J110345.92%2B184516.1.jpg,165.94136084107072,18.754482616011327,0.03210432,-20.194164,1511.9878,4.745654,13.679976,9.376751
J010030.86+002748.7,0.0255077704787254,0.9744921922683716,https://storage.yandexcloud.net/ring-galaxies/J010030.86%2B002748.7.jpg,15.128525747078585,0.463551260678854,0.062621035,-19.809397,198.85771,3.3855855,6.818261,6.4655952
J143517.11+225745.4,0.0255591813474893,0.9744408130645752,https://storage.yandexcloud.net/ring-galaxies/J143517.11%2B225745.4.jpg,218.82132109831863,22.962622252527225,0.020913003,-19.657835,2078.5127,5.4443297,15.784071,12.919089
J104357.53+114056.1,0.0256081186234951,0.9743918776512146,https://storage.yandexcloud.net/ring-galaxies/J104357.53%2B114056.1.jpg,160.98982040868424,11.70438399986737,0.0030710066,-20.752523,354149.16,17.198248,36.387856,41.960632
J125025.39+064935.9,0.0256407745182514,0.9743591547012328,https://storage.yandexcloud.net/ring-galaxies/J125025.39%2B064935.9.jpg,192.60692772424312,6.827247126251745,0.063396834,-21.236431,894.3039,5.0830016,13.679976,10.881066
J124108.04+121544.8,0.0256444942206144,0.9743555784225464,https://storage.yandexcloud.net/ring-galaxies/J124108.04%2B121544.8.jpg,190.2835453183104,12.262445223890852,0.07404155,-21.352293,767.7455,6.5759864,17.003117,16.713696
J103942.90-004228.6,0.0256509631872177,0.9743490219116212,https://storage.yandexcloud.net/ring-galaxies/J103942.90-004228.6.jpg,159.9287595841952,-0.7079629846396881,0.02719358,-18.947432,590.1127,3.1437035,7.751459,6.5815725
J131745.19+040705.9,0.025693841278553,0.9743061065673828,https://storage.yandexcloud.net/ring-galaxies/J131745.19%2B040705.9.jpg,199.43832656913713,4.118318300976349,0.04588521,-20.11327,635.3623,4.745654,12.270542,10.217217
J094934.00+330418.5,0.0256944466382265,0.9743055701255798,https://storage.yandexcloud.net/ring-galaxies/J094934.00%2B330418.5.jpg,147.39170309221413,33.07183652540252,0.1024027,-21.637169,487.88422,3.1770618,9.27499,7.9168377
J122255.66+153058.7,0.0257009472697973,0.9742990732192992,https://storage.yandexcloud.net/ring-galaxies/J122255.66%2B153058.7.jpg,185.73198455536283,15.516337208926336,0.069271915,-20.273771,293.6006,2.3914557,6.7527394,5.89887
J140809.24+250654.8,0.0257094595581293,0.9742904901504515,https://storage.yandexcloud.net/ring-galaxies/J140809.24%2B250654.8.jpg,212.0385069228399,25.115224001151432,0.06484379,-21.003712,770.40796,5.3009696,13.925215,12.26853
J092616.24+142915.6,0.0257199015468359,0.974280059337616,https://storage.yandexcloud.net/ring-galaxies/J092616.24%2B142915.6.jpg,141.5677047421839,14.487652329412182,0.1372556,-21.647142,239.10927,2.8592021,8.270784,7.4014983
J135008.54+075109.1,0.0257210750132799,0.9742789268493652,https://storage.yandexcloud.net/ring-galaxies/J135008.54%2B075109.1.jpg,207.53564843818847,7.852520663201951,0.06780719,-19.661053,156.94981,2.929065,6.818261,5.7304387
J140818.81+014607.5,0.0257635507732629,0.9742364287376404,https://storage.yandexcloud.net/ring-galaxies/J140818.81%2B014607.5.jpg,212.07837232930797,1.7687876096335835,0.11645396,-21.266298,256.985,2.6833656,9.177605,7.4309955
J095308.47+004614.0,0.0257645212113857,0.974235475063324,https://storage.yandexcloud.net/ring-galaxies/J095308.47%2B004614.0.jpg,148.2853373030574,0.7705908602755758,0.09433588,-20.288069,142.29977,2.7261894,8.523943,7.237469
J102027.52+135530.1,0.0258209016174078,0.9741791486740112,https://storage.yandexcloud.net/ring-galaxies/J102027.52%2B135530.1.jpg,155.11467358822037,13.925041978836752,0.14487895,-22.19473,307.5149,5.2788806,14.066874,7.9574156
J125712.97+082101.6,0.0258828829973936,0.9741171598434448,https://storage.yandexcloud.net/ring-galaxies/J125712.97%2B082101.6.jpg,194.30407792699668,8.350486772939083,0.07266078,-20.76088,418.4576,4.0930257,10.527441,7.9168377
J141810.30+262720.8,0.0259104259312152,0.9740895628929138,https://storage.yandexcloud.net/ring-galaxies/J141810.30%2B262720.8.jpg,214.5429611996919,26.455812435168077,0.13942388,-21.672224,256.2239,2.8739326,7.7106576,6.478187
J104054.21+000013.7,0.0259870309382677,0.9740129709243774,https://storage.yandexcloud.net/ring-galaxies/J104054.21%2B000013.7.jpg,160.22590244013074,0.0038025673211512473,0.13393763,-21.304855,163.41524,3.530749,9.777639,8.891541
J002337.30+044220.0,0.0260249469429254,0.9739751219749452,https://storage.yandexcloud.net/ring-galaxies/J002337.30%2B044220.0.jpg,5.904928302511072,4.706258138931632,0.08099949,-21.515596,610.65045,2.1385596,7.9168377,5.8292456
